,loss
0,0.50888795
1,0.49284577
2,0.4828492
3,0.47361052
4,0.46197596
5,0.44835117
6,0.43443522
7,0.421477
8,0.40880793
9,0.3956905
10,0.38412243
11,0.37726027
12,0.37289244
13,0.366971
14,0.35948047
15,0.3483356
16,0.33285904
17,0.31737167
18,0.30523255
19,0.29637283
20,0.29129142
21,0.28615755
22,0.27656588
23,0.26616576
24,0.25782004
25,0.25821927
26,0.262652
27,0.26486707
28,0.2614061
29,0.25520492
30,0.25132164
31,0.24786422
32,0.24349849
33,0.23792574
34,0.23295403
35,0.22994615
36,0.22887266
37,0.22851525
38,0.227836
39,0.22616138
40,0.22387472
41,0.22119103
42,0.21871223
43,0.21623157
44,0.21378508
45,0.21103841
46,0.20839891
47,0.20610002
48,0.20454141
49,0.20327023
50,0.20173101
51,0.19965677
52,0.19715117
53,0.19468918
54,0.19236887
55,0.19001748
56,0.18770665
57,0.18556431
58,0.18358734
59,0.18161048
60,0.17933919
61,0.17666765
62,0.17379282
63,0.17089379
64,0.16790034
65,0.16468832
66,0.16137813
67,0.1583375
68,0.1570747
69,0.16063736
70,0.15642625
71,0.14355373
72,0.148453
73,0.14098297
74,0.13461098
75,0.13699739
76,0.12575145
77,0.12551142
78,0.12197304
79,0.11175918
80,0.11201063
81,0.108343
82,0.09791836
83,0.09385528
84,0.09522208
85,0.094181836
86,0.0855499
87,0.075439826
88,0.07120831
89,0.07360436
90,0.08472772
91,0.09707883
92,0.07875012
93,0.055357866
94,0.07303968
95,0.07608917
96,0.050098762
97,0.05903968
98,0.066757664
99,0.045236923
100,0.05047644
101,0.057926424
102,0.040678404
103,0.04355194
104,0.050693646
105,0.037231907
106,0.03642732
107,0.044196963
108,0.035795093
109,0.029442232
110,0.035666175
111,0.036061317
112,0.027654905
113,0.02487137
114,0.02950962
115,0.031410847
116,0.02630746
117,0.020560598
118,0.019742351
119,0.022819258
120,0.026180537
121,0.026819088
122,0.024066983
123,0.01901045
124,0.014754343
125,0.01300315
126,0.013656711
127,0.01614748
128,0.020542081
129,0.027678462
130,0.03568364
131,0.038518444
132,0.026779454
133,0.011327623
134,0.009630519
135,0.019779842
136,0.0248307
137,0.01608391
138,0.006995368
139,0.009493987
140,0.016689511
141,0.01665662
142,0.009162027
143,0.005077917
144,0.0084218485
