,loss
0,0.4947534
1,0.4937965
2,0.49377397
3,0.4938924
4,0.49374393
5,0.49346215
6,0.49323714
7,0.4931518
8,0.49316347
9,0.49316975
10,0.4931109
11,0.49300304
12,0.49290088
13,0.49284846
14,0.49285117
15,0.49287656
16,0.49288553
17,0.4928636
18,0.4928261
19,0.49280006
20,0.49280086
21,0.49282217
22,0.49284342
23,0.49284774
24,0.49283502
25,0.49281833
26,0.4928112
27,0.4928166
28,0.49282593
29,0.49282822
30,0.49281958
31,0.4928053
32,0.49279416
33,0.49279046
34,0.49279147
35,0.4927907
36,0.49278468
37,0.49277523
38,0.49276724
39,0.492764
40,0.49276432
41,0.49276462
42,0.4927623
43,0.49275807
44,0.49275455
45,0.4927537
46,0.49275485
47,0.49275574
48,0.49275497
49,0.49275294
50,0.49275127
51,0.49275097
52,0.4927515
53,0.49275154
54,0.49275044
55,0.4927487
56,0.4927474
57,0.49274686
58,0.4927467
59,0.49274597
60,0.4927448
61,0.4927435
62,0.49274272
63,0.4927424
64,0.4927421
65,0.4927415
66,0.4927407
67,0.49274015
68,0.49273998
69,0.49273983
70,0.49273968
71,0.49273917
72,0.4927388
73,0.4927386
74,0.49273846
75,0.49273828
76,0.492738
77,0.49273762
78,0.49273738
79,0.49273726
80,0.49273705
81,0.49273682
82,0.4927365
83,0.49273628
84,0.49273613
85,0.492736
86,0.49273583
87,0.4927356
88,0.4927355
89,0.4927353
90,0.49273524
91,0.49273512
92,0.49273494
93,0.49273485
94,0.49273473
95,0.49273467
96,0.4927345
97,0.4927344
98,0.49273428
99,0.49273416
100,0.4927341
101,0.49273396
102,0.49273384
103,0.49273378
104,0.4927337
105,0.4927336
106,0.4927335
107,0.49273336
108,0.49273327
109,0.49273318
110,0.49273315
111,0.49273303
112,0.49273294
113,0.49273288
114,0.49273273
115,0.49273267
116,0.4927326
117,0.49273255
118,0.49273244
119,0.4927323
120,0.49273226
121,0.49273217
122,0.4927321
123,0.49273202
124,0.49273193
125,0.49273184
126,0.49273178
127,0.49273166
128,0.49273157
129,0.49273148
130,0.4927314
131,0.49273127
132,0.49273124
133,0.49273112
134,0.49273106
135,0.49273095
136,0.49273083
137,0.49273077
138,0.4927307
139,0.49273056
140,0.4927305
141,0.49273044
142,0.49273032
143,0.49273032
144,0.4927301
145,0.49273002
146,0.49272993
147,0.49272978
148,0.49272972
149,0.49272966
150,0.49272957
151,0.49272943
152,0.49272937
153,0.49272922
154,0.4927291
155,0.49272904
156,0.49272892
157,0.49272883
158,0.49272868
159,0.4927286
160,0.49272847
161,0.49272835
162,0.49272823
163,0.4927282
164,0.49272802
165,0.4927279
166,0.4927278
167,0.4927277
168,0.49272758
169,0.49272746
170,0.49272734
171,0.49272722
172,0.49272713
173,0.49272698
174,0.4927269
175,0.49272677
176,0.49272665
177,0.49272653
178,0.49272636
179,0.49272624
180,0.49272615
181,0.492726
182,0.49272588
183,0.4927257
184,0.49272558
185,0.49272546
186,0.49272534
187,0.4927252
188,0.49272504
189,0.49272493
190,0.49272478
191,0.4927246
192,0.49272448
193,0.49272436
194,0.4927242
195,0.49272403
196,0.4927239
197,0.49272376
198,0.49272364
199,0.49272346
200,0.49272332
201,0.49272314
202,0.49272302
203,0.49272287
204,0.49272266
205,0.49272254
206,0.49272236
207,0.49272224
208,0.4927221
209,0.49272192
210,0.4927217
211,0.4927216
212,0.4927214
213,0.49272126
214,0.49272108
215,0.4927209
216,0.4927207
217,0.49272054
218,0.49272034
219,0.49272022
220,0.49272
221,0.49271986
222,0.49271968
223,0.49271953
224,0.4927193
225,0.49271908
226,0.4927189
227,0.49271876
228,0.49271855
229,0.49271834
230,0.4927182
231,0.492718
232,0.49271777
233,0.49271756
234,0.49271742
235,0.49271718
236,0.4927169
237,0.4927168
238,0.49271652
239,0.4927163
240,0.49271613
241,0.49271587
242,0.49271575
243,0.4927155
244,0.4927153
245,0.49271506
246,0.4927148
247,0.4927146
248,0.4927144
249,0.49271417
250,0.49271387
251,0.4927137
252,0.49271345
253,0.4927132
254,0.492713
255,0.49271277
256,0.4927125
257,0.49271232
258,0.49271205
259,0.49271178
260,0.49271157
261,0.4927113
262,0.49271107
263,0.49271077
264,0.49271053
265,0.4927103
266,0.49271005
267,0.49270976
268,0.49270946
269,0.49270922
270,0.49270898
271,0.4927087
272,0.49270838
273,0.4927081
274,0.49270788
275,0.4927076
276,0.4927073
277,0.49270698
278,0.49270672
279,0.4927064
280,0.49270615
281,0.49270585
282,0.49270555
283,0.49270526
284,0.49270496
285,0.49270463
286,0.4927043
287,0.49270403
288,0.4927037
289,0.4927034
290,0.49270305
291,0.49270275
292,0.49270242
293,0.49270207
294,0.49270177
295,0.4927015
296,0.49270108
297,0.49270076
298,0.4927005
299,0.49270007
300,0.49269974
301,0.49269938
302,0.49269906
303,0.4926987
304,0.4926983
305,0.49269798
306,0.49269763
307,0.49269727
308,0.49269694
309,0.49269652
310,0.49269614
311,0.49269575
312,0.4926954
313,0.49269497
314,0.4926946
315,0.4926942
316,0.49269384
317,0.49269345
318,0.492693
319,0.49269262
320,0.49269223
321,0.4926918
322,0.49269146
323,0.49269092
324,0.49269056
