,loss
0,0.5034393
1,0.5023839
2,0.50202596
3,0.5016408
4,0.50120056
5,0.50085247
6,0.5006628
7,0.50058365
8,0.5005278
9,0.50045466
10,0.50038004
11,0.5003377
12,0.50034136
13,0.5003729
14,0.50040007
15,0.5004045
16,0.5003923
17,0.50038046
18,0.50038004
19,0.5003874
20,0.50039047
21,0.5003803
22,0.5003584
23,0.5003337
24,0.50031483
25,0.5003035
26,0.500295
27,0.50028336
28,0.5002672
29,0.5002504
30,0.50023794
31,0.5002314
32,0.50022805
33,0.5002242
34,0.5002181
35,0.5002116
36,0.5002072
37,0.5002061
38,0.5002067
39,0.5002066
40,0.5002047
41,0.50020206
42,0.5002006
43,0.5002005
44,0.50020075
45,0.50020003
46,0.50019807
47,0.50019586
48,0.5001943
49,0.50019354
50,0.5001926
51,0.500191
52,0.50018895
53,0.5001871
54,0.5001859
55,0.5001851
56,0.50018406
57,0.5001827
58,0.5001814
59,0.5001805
60,0.50018007
61,0.5001796
62,0.5001789
63,0.5001782
64,0.50017774
65,0.50017744
66,0.50017726
67,0.5001769
68,0.5001764
69,0.5001761
70,0.5001759
71,0.50017565
72,0.5001754
73,0.50017494
74,0.5001746
75,0.50017434
76,0.5001741
77,0.5001739
78,0.50017357
79,0.5001733
80,0.5001731
81,0.50017285
82,0.5001727
83,0.50017244
84,0.50017226
85,0.5001722
86,0.500172
87,0.5001719
88,0.5001718
89,0.5001716
90,0.50017154
91,0.5001715
92,0.50017136
93,0.5001713
94,0.5001712
95,0.5001711
96,0.50017107
97,0.500171
98,0.50017095
99,0.5001708
100,0.5001707
101,0.50017065
102,0.5001706
103,0.5001706
104,0.5001705
105,0.50017047
106,0.5001704
107,0.5001704
108,0.50017035
109,0.50017035
110,0.50017023
111,0.50017023
112,0.5001701
113,0.5001701
114,0.5001701
115,0.5001701
116,0.50017005
117,0.50016993
118,0.50016993
119,0.50016993
120,0.5001699
121,0.5001699
122,0.5001699
123,0.5001698
124,0.5001698
125,0.50016975
126,0.5001697
127,0.5001697
128,0.5001697
129,0.5001697
130,0.5001697
131,0.50016963
132,0.50016963
133,0.5001696
134,0.5001696
135,0.5001696
136,0.50016946
137,0.5001695
138,0.50016946
139,0.5001694
140,0.5001694
141,0.5001694
142,0.5001694
143,0.50016934
144,0.50016934
145,0.5001693
146,0.5001693
147,0.5001692
148,0.5001692
149,0.5001692
150,0.50016916
151,0.50016916
152,0.50016916
153,0.5001691
154,0.50016916
155,0.50016904
156,0.50016904
157,0.50016904
158,0.50016904
159,0.500169
160,0.500169
161,0.500169
162,0.5001689
163,0.5001689
164,0.5001689
165,0.5001689
166,0.50016886
167,0.50016886
168,0.50016886
169,0.5001688
170,0.5001688
171,0.5001688
172,0.5001688
173,0.50016874
174,0.5001688
175,0.5001687
176,0.5001687
177,0.5001687
178,0.5001687
179,0.5001687
180,0.5001687
181,0.5001686
182,0.5001686
183,0.5001686
184,0.5001686
185,0.50016856
186,0.50016856
187,0.50016856
188,0.50016856
189,0.5001685
190,0.50016856
191,0.5001685
192,0.5001685
193,0.50016844
194,0.50016844
195,0.50016844
196,0.50016844
197,0.50016844
198,0.50016844
199,0.50016844
200,0.5001684
201,0.5001684
202,0.5001683
203,0.5001683
204,0.5001684
205,0.5001683
206,0.5001683
207,0.5001683
208,0.50016826
209,0.5001683
210,0.5001683
211,0.5001683
212,0.5001682
213,0.5001682
214,0.5001682
215,0.5001682
216,0.5001682
217,0.5001682
218,0.5001682
219,0.5001682
220,0.50016814
221,0.50016814
222,0.50016814
223,0.5001682
224,0.50016814
225,0.50016814
226,0.50016814
227,0.5001681
228,0.5001681
229,0.50016814
230,0.5001681
231,0.5001681
232,0.5001681
233,0.500168
234,0.5001681
235,0.500168
236,0.500168
237,0.500168
238,0.500168
239,0.500168
240,0.500168
241,0.500168
242,0.500168
243,0.50016797
244,0.50016797
245,0.50016797
246,0.50016797
247,0.50016797
248,0.5001679
249,0.5001679
250,0.5001679
251,0.5001679
252,0.5001679
253,0.5001679
254,0.5001679
255,0.5001679
256,0.5001679
257,0.5001679
258,0.5001679
259,0.5001679
260,0.5001679
261,0.50016785
262,0.50016785
263,0.50016785
264,0.50016785
265,0.50016785
266,0.5001678
267,0.5001678
268,0.5001678
269,0.5001678
270,0.5001678
271,0.5001678
272,0.5001678
273,0.5001678
274,0.5001678
275,0.5001678
276,0.5001677
277,0.5001677
278,0.5001677
279,0.5001677
280,0.5001677
281,0.50016767
282,0.50016767
283,0.50016767
284,0.50016767
285,0.50016767
286,0.50016767
287,0.50016767
288,0.50016767
289,0.5001677
290,0.50016767
291,0.50016767
292,0.50016767
293,0.50016767
294,0.50016767
295,0.50016767
296,0.50016767
297,0.50016767
298,0.50016767
299,0.50016767
300,0.50016767
301,0.5001676
302,0.50016767
303,0.5001676
304,0.5001676
305,0.5001676
