,N
0,763.0
1,763.0
2,763.0000000000001
3,763.0000000000001
4,763.0000000000001
5,763.0000000000001
6,763.0000000000001
7,763.0
8,763.0000000000001
9,763.0000000000001
10,763.0
11,763.0000000000001
12,763.0000000000001
13,763.0000000000002
14,763.0000000000001
15,763.0000000000001
16,763.0000000000002
17,763.0000000000001
18,763.0000000000002
19,763.0000000000001
20,763.0000000000001
21,763.0
22,763.0000000000001
23,763.0000000000001
24,763.0
25,763.0000000000001
26,763.0000000000002
27,763.0000000000002
28,763.0000000000001
29,763.0000000000001
30,763.0000000000001
31,763.0
32,763.0000000000001
33,763.0000000000001
34,763.0000000000001
35,763.0000000000001
36,763.0000000000001
37,763.0000000000001
38,763.0
39,763.0000000000001
40,763.0
41,763.0000000000001
42,763.0
43,763.0
44,763.0
45,763.0000000000001
46,763.0
47,763.0000000000001
48,763.0
49,763.0000000000001
50,763.0000000000001
51,763.0000000000002
52,763.0000000000002
53,763.0000000000002
54,763.0000000000002
55,763.0000000000002
56,763.0000000000002
57,763.0000000000002
58,763.0000000000002
59,763.0000000000002
60,763.0000000000002
61,763.0000000000002
62,763.0000000000002
63,763.0000000000002
64,763.0000000000002
65,763.0000000000002
66,763.0000000000002
67,763.0000000000002
68,763.0000000000002
69,763.0000000000002
70,763.0000000000002
