,N
0,763.0
1,763.0
2,762.9999999999999
3,762.9999999999999
4,763.0
5,762.9999999999999
6,763.0
7,762.9999999999999
8,762.9999999999999
9,762.9999999999999
10,762.9999999999999
11,762.9999999999999
12,762.9999999999999
13,762.9999999999999
14,762.9999999999999
15,762.9999999999998
16,762.9999999999998
17,762.9999999999998
18,762.9999999999998
19,762.9999999999998
20,762.9999999999997
21,762.9999999999998
22,762.9999999999998
23,762.9999999999998
24,762.9999999999998
25,762.9999999999998
26,762.9999999999998
27,762.9999999999997
28,762.9999999999998
29,762.9999999999997
30,762.9999999999997
31,762.9999999999997
32,762.9999999999995
33,762.9999999999997
34,762.9999999999997
35,762.9999999999997
36,762.9999999999997
37,762.9999999999995
38,762.9999999999995
39,762.9999999999995
40,762.9999999999995
41,762.9999999999997
42,762.9999999999997
43,762.9999999999997
44,762.9999999999997
45,762.9999999999995
46,762.9999999999995
47,762.9999999999995
48,762.9999999999995
49,762.9999999999995
50,762.9999999999995
51,762.9999999999995
52,762.9999999999997
53,762.9999999999995
54,762.9999999999997
55,762.9999999999995
56,762.9999999999995
57,762.9999999999995
58,762.9999999999995
59,762.9999999999995
60,762.9999999999995
61,762.9999999999995
62,762.9999999999995
63,762.9999999999995
64,762.9999999999995
65,762.9999999999995
66,762.9999999999995
67,762.9999999999995
68,762.9999999999995
69,762.9999999999995
70,762.9999999999995
